x1,x2,x3,y
-1914,7218,-8752,20511
-3428,1210,-807,-7866
2834,6046,702,6393
8099,1657,1411,20061
-7608,-9669,1149,-26274
3948,1228,7124,-9531
-2935,8030,4054,-20970
4762,971,-8114,38625
-7326,-4709,3056,-31149
-7272,-542,6774,-42141
3959,-2726,6354,-7188
-776,505,3936,-14139
-2513,3591,-4821,6921
6982,6884,7237,-768
-317,-6208,6793,-21333
453,4676,3051,-7797
7816,9411,-5293,39324
-3621,-9358,-1122,-7500
-1919,-4522,126,-6138
1992,-8850,-1592,10749
8273,-8653,8665,-1179
-9935,2130,9095,-57093
960,-7459,8490,-22593
-2424,-8414,2884,-15927
9345,-4761,2130,21642
5490,-1173,-6212,35103
3878,36,-8270,36441
-6377,-7493,4495,-32619
-3495,-7890,-4355,2577
1995,5317,7182,-15564
-7592,7822,976,-25707
8200,-8748,-8500,50097
-7943,2884,-9761,5451
-4731,3727,6709,-34323
891,-2589,-6107,20991
-6579,-9482,3803,-31149
-5190,-5626,524,-17145
-1860,8847,-3715,5562
-5623,2369,4451,-30225
5721,9885,2133,10761
829,-2056,-246,3222
3501,-5108,1643,5571
-6326,-9034,8506,-44499
5158,5814,-8332,40467
8562,4024,9246,-2055
6082,1229,3302,8337
9077,-9308,6504,7716
5796,5245,4132,4989
-7869,-487,-6524,-4038
-9388,-5296,-9151,-714
3283,2667,3590,-924
-4800,-5104,-4753,-144
497,-9097,8196,-23100
2863,-6689,4768,-5718
3727,-5975,4356,-1890
8211,4340,-9184,52182
-7994,9920,2842,-32511
-7210,-7357,4506,-35151
9848,8738,-134,29943
9472,1007,4374,15291
2010,-4277,-7631,28920
-5961,-2186,-5579,-1149
8949,1196,7576,4116
6892,-4875,-7863,44262
-3270,-1500,3247,-19554
1438,6746,-3006,13329
4806,4066,-1086,17673
-7107,5766,-4965,-6429
-9819,-7214,-416,-28212
-5625,-4147,4631,-30771
6346,-4891,-4891,33708
6325,4982,-6022,37038
5490,4949,-569,18174
-2315,-750,7945,-30783
-1755,-4164,-8706,20850
-5097,3346,-1579,-10557
-9099,7640,556,-28968
1433,6862,7837,-19215
-2113,-5992,2782,-14688
-2787,-6171,-256,-7596
5209,4177,-6984,36576
-1225,-6620,-8769,22629
-6417,636,-612,-17418
-7433,7918,-42,-22176
2350,-3973,-1022,10113
886,-9113,2645,-5280
-5844,5503,-7676,5493
175,9552,795,-1863
-8273,6693,9955,-54687
5680,4312,-3712,28173
-3855,3090,3668,-22572
400,7776,-8044,25329
-4474,-3018,564,-15117
-8992,-2995,-4054,-14817
-8506,1416,-6944,-4689
-7925,1392,-6904,-3066
-9859,-6789,-707,-27459
-7943,-4887,8418,-49086
3437,-9479,7664,-12684
5808,-7060,4074,5199
-5768,1680,-3343,-7278
302,601,858,-1671
-6267,-7878,8339,-43821
-6026,39,6936,-38889
9765,7348,-9219,56949
2711,-8034,7101,-13173
6605,6575,1442,15486
4574,1332,4163,1230
2100,5021,-7713,29436
-2948,-3832,4210,-21477
8584,-6803,-3363,35838
-8643,-1021,7508,-48456
7984,-3011,9159,-3528
1231,-969,-8741,29913
3937,-1802,-7775,35133
5781,-2108,7148,-4104
-9514,414,1646,-33483
-5341,6535,5767,-33327
-4224,4354,5058,-27849
8966,-2484,6688,6831
1130,-2583,-919,6144
-3524,7676,-9073,16644
5835,-4376,-3184,27054
-4883,-6129,-5611,2181
8330,828,-5284,40839
-5906,-4725,-1003,-14712
9749,4608,9578,510
6210,5516,-6090,36897
2706,-9626,-1208,11739
2836,3718,609,6678
8114,5741,9954,-5523
-4498,4465,3616,-24345
-3123,-2106,4546,-23010
8278,-2683,2269,18024
9678,-2157,-2402,36237
-10,927,785,-2388
-709,-2442,-6756,18138
-6269,3191,-3594,-8028
312,-9431,-2226,7611
-4010,9319,-2714,-3891
-7188,4660,2854,-30129
-7457,328,7649,-45321
8920,9401,7635,3852
-2239,5581,-6451,12633
9203,8421,-3749,38853
8389,-2295,107,24843
-2041,1961,8564,-31818
9645,-7008,-6619,48789
-5445,6349,-3103,-7029
-293,-6181,5962,-18768
5669,-9045,5428,720
3219,-3372,-9041,36777
6035,7829,5920,342
8423,4323,-1531,29859
-7952,5741,-8666,2139
1707,9764,-8018,29172
3915,-792,3855,177
-5033,-9468,-8097,9189
9682,-7484,-2970,37953
-8305,-3414,1628,-29802
233,-1879,-1409,4923
9482,-1905,6527,8862
5052,-2013,-1432,19449
8899,-2083,-1745,31929
-1555,429,-6684,15384
-2393,-4727,7033,-28281
-8779,2809,-4995,-11355
7995,1427,-3621,34845
-8840,4789,9570,-55233
2663,7923,9462,-20400
-2134,6479,591,-8178
1459,-4787,9630,-24516
3157,-5449,4123,-2901
-6233,925,-4894,-4020
5279,2704,-3384,25986
-5665,9403,3240,-26718
8171,-1968,8229,-177
-2848,9360,-8403,16662
3566,-6298,541,9072
3733,-2807,1697,6105
-6455,-9527,-7253,2391
1665,-2972,-4264,17784
3112,4585,-3891,21006
-6626,1715,-8424,5391
3300,4567,-4980,24837
-648,-7933,3870,-13557
7652,8853,-5091,38226
-5364,3760,-2677,-8064
-307,-33,6625,-20799
3559,-5637,3434,372
6909,7102,-2260,27504
-1644,3273,-7637,17976
-2831,1446,4415,-21741
-3663,-2289,7872,-34608
480,3050,5154,-14025
-9903,-2815,-2046,-23574
2713,3440,2924,-636
-147,-3860,-24,-372
-514,4789,-1249,2202
-4484,-8819,6796,-33843
-6171,-9024,3958,-30390
-3096,-3339,-7589,13476
-2050,-4579,2388,-13317
-4495,-6614,-5233,2211
292,-9244,5653,-16086
5126,-956,-6147,33816
-6632,9479,-6005,-1884
8245,4188,-3648,35676
850,726,-4273,15366
4443,1770,8364,-11766
-1531,5568,2800,-12996
8582,-5100,-2535,33348
5267,-7283,-6354,34860
6669,-6275,3489,9537
-4952,5300,-6052,3297
-1997,-7764,2556,-13662
8121,2640,-1051,27513
997,-9825,-1699,8085
6190,2322,-4239,31284
-345,9756,1170,-4548
1866,-1914,7176,-15933
8055,5814,5851,6609
-804,-2776,4013,-14454
279,-6076,126,456
-3060,860,-4478,4251
6558,-5249,-3195,29256
1487,-7289,-5035,19563
1686,-4340,-7171,26568
-4037,3140,9288,-39978
4916,7207,9715,-14400
5707,-1730,9239,-10599
-4340,3670,-3303,-3114
-8804,6232,7077,-47646
-9412,-1814,-3772,-16923
-2590,-4329,-5270,8037
-3697,-2136,-5903,6615
-9596,8545,-6393,-9612
7444,-4279,-862,24915
-2651,4396,-5704,9156
301,-2002,-5254,16662
-6869,1636,6789,-40977
2489,8191,-3040,16584
5336,2879,8718,-10149
-1367,-3665,-7718,19050
7177,-6086,-8273,46347
-9782,-431,3498,-39843
2703,-4751,-8057,32277
3811,9588,1932,5634
-8283,3778,9942,-54678
5417,2089,6139,-2169
2426,-6032,3231,-2418
811,6412,4447,-10911
8366,7972,-6647,45036
-2503,-3746,4395,-20697
9708,-2585,-8645,55056
-3773,2707,-3560,-642
9163,-353,-5498,43980
8900,-4329,3781,15354
-2760,1806,7415,-30528
4114,7002,1963,6450
145,7122,3853,-11127
-1999,8212,-1116,-2652
7750,9261,9772,-6069
-8367,-1671,-449,-23757
-9057,-4795,6001,-45177
-6393,7488,9935,-48987
270,2474,596,-981
-3054,-8245,-8087,15096
882,-7461,-2507,10164
7170,6737,921,18744
7018,-2349,6979,114
6931,-1737,-2367,27891
-8750,4261,-2971,-17340
659,9485,-8520,27534
5951,-6658,9160,-9630
-2676,3872,-377,-6900
-1029,8207,-4181,9453
9058,-7563,-9755,56436
8773,2705,-3518,36870
-9785,-8717,3162,-38844
4272,587,-9783,42162
7945,-1810,5968,5928
-6554,-3454,-1210,-16035
-473,-8023,-2126,4956
-5088,-4897,-2288,-8403
-5389,-2383,4640,-30090
1984,6390,-3767,17250
-6216,9989,-3280,-8811
-7559,2583,-1098,-19386
7202,-7117,7847,-1938
-647,7518,-2999,7053
-4643,5633,1613,-18771
2330,-2023,136,6579
-7161,-2603,7495,-43971
8628,1977,-631,27774
7448,8891,-2621,30204
-6355,-4468,5445,-35403
-3181,4631,-695,-7461
-7619,3332,-9662,6126
-5601,8408,2014,-22848
-2402,-7725,-855,-4644
-8420,-2185,9721,-54426
-172,-5386,-1070,2691
-9261,7074,-2737,-19575
9546,-2809,5554,11973
6033,-8645,-9134,45498
-7256,9875,8902,-48477
502,-9942,-6375,20628
-1623,-1676,1163,-8361
-3192,8432,6657,-29550
-4263,-5346,1543,-17421
9049,9293,-3621,38007
759,-4376,7055,-18891
-6010,5561,5685,-35088
4208,-6619,3405,2406
3087,-4466,3515,-1287
-5696,-5482,-6852,3465
3416,-3870,-72,10461
-8529,5426,-2270,-18780
4086,7535,3201,2652
6159,5579,9511,-10059
-3376,9307,6945,-30966
-3542,-6080,-7720,12531
-1789,-8156,-5316,10578
-4895,74,-9397,13503
7978,-7558,-5734,41133
-9764,-7566,8302,-54201
6871,7384,-2607,28431
9747,-9327,5289,13371
6531,-9701,-6254,38352
-3666,965,-6688,9063
8819,2209,-407,27675
-1027,-7557,-5758,14190
4395,-6046,-8974,40104
4104,-6801,-6548,31953
-3799,5246,6490,-30870
3499,-9593,268,9690
-2251,5071,6256,-25524
-4579,-6580,4223,-26409
-764,56,-4006,9723
7591,-1210,2132,16374
2741,-9103,6878,-12414
-9691,-6139,-6094,-10794
-7944,2517,-5791,-6462
-8278,-3077,585,-26592
3619,-8158,-2050,17004
6057,1356,8596,-7620
8510,-734,-1235,29232
-3713,-7234,-7835,12363
-1597,3279,-3929,6993
2942,-7519,-2206,15441
-7488,-9644,1393,-26646
8080,3126,9584,-4515
1093,-7321,-3771,14589
252,-3201,1519,-3804
-7305,2838,-4186,-9360
9426,-6586,7028,7191
-8221,-4799,892,-27342
-2809,914,4902,-23136
-8938,7907,9085,-54072
5511,-5535,-4808,30954
7038,9649,6202,2505
4042,-9903,7403,-10086
-7828,1307,-7958,387
-237,-7897,5849,-18261
-8570,-3897,8051,-49866
9353,-9860,-8569,53763
2491,-6650,9199,-20127
-4301,1167,9180,-40446
-7171,2323,7351,-43569
5375,-6655,-4272,28938
-7001,1245,-4302,-8100
-1417,8788,-9475,24171
3855,1961,4548,-2082
4855,237,4201,1959
3034,2975,-5834,26601
-2444,-2306,-7211,14298
4317,-852,6765,-7347
9167,-7319,4671,13485
-1750,-5668,-1634,-351
1812,-2606,1840,-87
-5715,-9470,-2506,-9630
-3807,9399,3745,-22659
-8506,6103,8672,-51537
-7863,-3434,5605,-40407
-2463,5913,23,-7461
-6320,7775,-2031,-12870
-2975,-3171,-6081,9315
9968,-973,2845,21366
7990,3756,-1198,27561
-3892,5875,4719,-25836
-3636,4108,7958,-34785
4041,-6343,1191,8547
4361,4232,-8723,39249
3244,9414,-4360,22809
-1088,4866,4962,-18153
-724,6013,-8556,23493
7160,4359,3177,11946
4756,5331,-4628,28149
4256,-2061,1174,9243
-990,4777,-4368,10131
1660,-3272,5005,-10038
4622,7244,2602,6057
-5094,5972,8568,-40989
-4618,2180,2750,-22107
126,-6876,-4787,14736
9387,-5892,-6841,48681
-8843,3529,-4474,-13110
-1220,-4415,3645,-14598
8708,6528,2093,19842
5780,-6568,-3893,29016
6395,-2047,-9070,46392
-9419,-8463,8328,-53244
-4120,8033,-7537,10248
7349,-7317,2925,13269
-1649,-9535,592,-6726
-3344,7005,4711,-24168
2651,3425,-2058,14124
-2831,-2451,-7406,13722
6711,2159,-90,20400
-2889,4538,-8935,18135
9395,829,-4587,41943
4035,8664,549,10455
-2372,-9122,-6910,13611
-7208,4383,-7644,1305
-176,-6786,5523,-17100
-3810,6409,-4108,891
2889,-8438,-7731,31857
2658,-2842,2239,1254
-2704,3719,2970,-17025
8982,-4235,-8922,53709
5803,-4343,-4481,30849
7687,4383,-2002,29064
2842,4551,-3103,17832
-9084,9061,-6931,-6462
6235,3693,-3689,29769
-4519,-8531,7123,-34929
-5792,3418,-9834,12123
2392,-2095,5073,-8046
6722,5012,9769,-9144
-5440,-5175,129,-16710
-60,-7915,2659,-8160
3322,-7763,-5167,25464
5664,-3781,6397,-2202
-3497,-2134,9015,-37539
-4598,6367,-9444,14535
-8260,-7298,-1412,-20547
-2455,9678,9155,-34833
-3007,-3824,-257,-8253
9969,1109,7618,7050
-1139,5043,2027,-9501
-9183,3061,5570,-44262
7248,-9893,5703,4632
-4808,-3575,1971,-20340
1234,1422,4455,-9666
6337,9562,8372,-6108
2025,-5152,-7668,29076
6596,5843,1139,16368
3482,-7230,-3229,20130
1397,-3396,-8878,30822
-785,-4804,2019,-8415
6137,991,5760,1128
3495,1260,-154,10944
754,7066,2941,-6564
-4157,7365,-6164,6018
-7789,-7535,2058,-29544
8941,7904,-7230,48510
-8608,6483,9054,-52989
-1739,6688,7375,-27345
-3134,476,-4230,3285
4988,4728,2379,7824
-4894,1052,4164,-27177
-7853,8996,525,-25137
1401,1,2439,-3117
-4008,6041,-5186,3531
7413,-7677,9486,-6222
1442,4055,4095,-7962
3985,-6648,-4854,26514
4803,4775,-4124,26778
4969,-439,2069,8697
-1907,4250,2545,-13359
-2099,-9589,5390,-22470
7207,2185,-4363,34707
-3011,-7444,7794,-32418
3400,-5984,3597,-594
-7527,8249,-3198,-12990
-8116,-608,4015,-36396
-9173,7238,-2299,-20625
-239,-9016,2863,-9309
3751,8723,1305,7335
-5295,-8452,5515,-32433
5449,-5609,9272,-11472
4967,2153,-2758,23172
-3307,-1081,7261,-31707
-2732,-9620,-5058,6975
5786,-1050,7225,-4320
-4282,3337,8020,-36909
-1592,6748,-5593,12000
7148,2642,8735,-4764
1706,-5069,7977,-18816
-4988,-4499,-8159,9510
-1346,-189,365,-5136
7045,2190,2688,13068
-6057,-8074,-378,-17040
8663,4405,7435,3681
8531,5490,8348,546
-5099,-5042,-3212,-5664
-8688,2820,3935,-37872
3034,-4206,-2381,16242
-9649,8506,3630,-39840
5632,5010,-5291,32766
9982,-8753,-3925,41718
-2628,5594,7002,-28893
-2416,-454,-9989,22716
1807,3732,4797,-8973
-925,-3086,-2886,5880
-7591,3952,9462,-51162
-9842,-307,-9870,81
-3809,-8483,-8182,13116
5078,3554,6058,-2943
-5651,-2377,-2044,-10824
5250,-3625,-7759,39024
-3644,6829,-8561,14748
2212,6706,-7650,29583
-2562,5834,-5751,9564
2765,-5321,9658,-20682
7615,-7178,998,19848
-8386,-8545,3875,-36786
-1055,4479,861,-5751
-9088,-8788,-1580,-22527
-8689,4641,-3576,-15342
8801,7138,649,24453
-7805,2928,-9477,5013
6897,-5496,7670,-2322
-9193,-3635,194,-28164
7136,-6115,-6068,39609
4565,4972,7266,-8106
6592,2126,7160,-1707
1177,-1061,-5598,20322
9017,-7247,9027,-33
8731,-4061,-9386,54348
-9264,7226,-3617,-16944
1432,-1391,-3464,14685
928,-1905,86,2523
-8171,-8779,-1421,-20253
-8430,-9191,8843,-51822
2823,-1460,1909,2739
9875,1701,-3154,39084
-6092,8297,187,-18840
-5103,-6004,-159,-14835
-3463,1531,-8626,15486
9596,-664,4677,14754
-1919,2643,-2557,1911
6756,9976,6936,-543
568,-1253,-957,4572
-2667,-8360,-5457,8367
-3628,-4981,-6866,9711
7300,-5283,9351,-6156
3562,4361,-4079,22920
2027,5574,622,4212
-1783,-2621,-9099,21945
8296,1074,-8457,50256
-5386,-2774,-924,-13389
-2096,-5066,5125,-21666
6686,6701,-8785,46410
8352,-583,-1585,29808
-4277,-1231,7061,-34017
3132,8314,5154,-6069
2256,-3311,2931,-2028
7959,-2330,6976,2946
-1685,8528,482,-6504
-4508,-2021,-2873,-4908
-9937,-3558,-4612,-15978
-3874,-5877,-6174,6897
-5734,-7110,8532,-42801
463,5991,-5528,17970
-4188,-2492,6052,-30723
5885,-1749,-2163,24141
-1401,8026,8647,-30147
-6551,2543,3518,-30210
7421,-9861,2734,14058
-7533,-2129,-7331,-609
-6854,8183,8966,-47463
598,932,-9395,29976
-6646,1423,-4395,-6756
-5616,-8427,7239,-38568
8248,-3088,7137,3330
6669,1679,-6562,39690
1452,8061,-1414,8595
2394,-4186,-796,9567
5327,2033,2116,9630
9760,8570,-793,31656
-2848,4145,-9519,20010
-8776,-2351,3482,-36777
4670,7912,-4628,27891
-7352,428,-2653,-14100
5200,-9807,8790,-10773
-6121,9184,-6085,-111
-9541,-6656,1056,-31794
-761,6969,-7678,20748
-3397,136,-7804,13218
-2899,-3051,2713,-16839
-2202,5925,-9210,21021
-415,8423,-3935,10557
9608,2657,-2602,36627
7835,-9233,-2775,31827
8821,3112,-99,26757
8977,-73,4479,13491
1446,6785,3933,-7464
7034,6421,8646,-4839
409,-8998,8830,-25266
-8462,6799,-1447,-21048
4912,1267,-5507,31254
12,-366,-8727,26214
9691,4697,319,28113
-2751,5521,-3282,1590
-4230,9424,6885,-33348
351,-9114,-5987,19011
-1086,5402,2593,-11040
1834,-5959,9606,-23319
6461,6822,6394,198
-1096,-3614,4243,-16020
-2333,4110,-8752,19254
8273,2995,72,24600
-1703,1192,8192,-29688
-3262,8342,4009,-21816
-3510,7513,145,-10968
674,7934,-5546,18657
-2115,-3276,2377,-13479
-9084,8634,-8295,-2370
-9654,-6948,7012,-50001
4361,-644,4217,429
1778,8257,8290,-19539
-1099,-6574,-2294,3582
4749,9377,-1795,19629
6793,-4712,-3589,31143
-6880,6786,-9263,7146
1030,5280,6043,-15042
-4146,-5043,-7205,9174
2740,-5202,1331,4224
3951,-9659,8441,-13473
7663,4088,-4861,37569
-7512,2136,3967,-34440
-1263,2716,-8939,23025
-1447,6354,811,-6777
907,-3527,4398,-10476
-4408,-1228,6093,-31506
-128,8232,-9253,27372
-9188,7876,-1138,-24153
-6225,-2905,9818,-48132
-3865,-4526,1439,-15915
-9546,4939,251,-29394
-9377,863,3179,-37671
-6431,-958,-1038,-16182
-6627,-1191,2455,-27249
8182,-7900,-3638,35457
281,6809,-3958,12714
-5641,8714,8860,-43506
-6958,1550,-9008,6147
8405,3299,-7127,46593
8175,-4665,6301,5619
3060,-4402,-4443,22506
8096,-8361,1722,19119
7075,-4451,-4785,35577
8926,-8464,8396,1587
1272,-1515,-6222,22479
-7530,4120,-5621,-5730
809,-9591,-7175,23949
9274,4383,206,27201
8763,4181,147,25845
1207,6244,7171,-17895
2263,2565,-4834,21288
5445,4764,-6530,35922
-6682,-8662,2553,-27708
-7901,9546,-7746,-468
5706,-647,-9666,46113
-3028,8532,7018,-30141
8109,9635,-3573,35043
-8969,6543,-3977,-14979
-6957,-1596,6587,-40635
8928,-86,7110,5451
8600,-1409,9314,-2145
-9611,-6685,-3351,-18783
4069,6581,-3771,23517
-5161,-5722,5737,-32697
-1793,-1400,4914,-20124
-2911,5557,2775,-17061
-8614,4142,9524,-54417
-9458,-3375,-7846,-4839
-7279,9297,9229,-49527
8487,-8182,2906,16740
-2837,986,-3782,2832
-3769,4440,8937,-38121
324,-1988,-3137,10380
-8550,4597,-1870,-20043
6208,4441,964,15729
8563,9873,-3828,37170
1288,6950,-6238,22575
5186,-4048,1344,11523
2967,169,8241,-15825
-9086,-3806,4463,-40650
-3109,5147,1687,-14391
-3857,-9969,2630,-19464
8740,-1887,9689,-2850
4803,8061,5421,-1857
7905,555,-7457,46083
-3714,-1835,-840,-8625
2726,-1023,-4024,20247
1252,-4655,-1081,6996
578,-4031,-1367,5832
7849,-2121,-255,24309
2973,9431,-6555,28581
2051,6092,319,5193
2025,-3427,-9996,36060
-5844,-564,4018,-29589
1818,93,3947,-6390
-571,-4571,561,-3399
-5234,9838,2718,-23859
-3698,-9747,-4473,2322
-5815,-7797,4969,-32355
-5493,-6523,6745,-36717
-1395,6505,599,-5985
1283,-9876,5124,-11526
-404,-4665,-6590,18555
-7596,342,8700,-48891
607,4414,-9002,28824
8454,4431,-7921,49122
-7647,-4473,4757,-37215
-7165,-6146,5339,-37515
-5543,658,2969,-25539
-7842,1305,-2717,-15378
-5317,9759,5237,-31665
-5316,3299,1458,-20325
2074,-2942,780,3879
-7680,4316,-3832,-11547
-5250,112,8603,-41562
5538,-9109,8669,-9396
880,-4905,302,1731
2185,-243,513,5013
-7229,-3295,2890,-30360
-7340,1572,-8564,3669
6897,-2998,-3059,29865
-6161,-4421,-1507,-13965
-2414,1692,7683,-30294
6637,-7645,3239,10191
222,1346,218,9
9216,-3856,-2912,36381
8519,5806,7,25533
-3899,4233,-1820,-6240
551,-6830,2067,-4551
-3887,324,9579,-40401
-6240,-72,5087,-33984
-8649,5906,2222,-32616
-8612,5441,-4075,-13614
6065,9596,-4825,32667
-4260,3506,-1555,-8118
-6821,-3651,3070,-29676
9916,-9794,4105,17430
7744,-8388,5391,7056
1620,778,9611,-23976
-3616,4748,-5801,6552
402,-1677,-2540,8823
8985,-6218,-1755,32217
6298,6073,-4041,31014
7724,-4642,2496,15681
-4243,8134,7628,-35616
9104,-6461,-4981,42252
4644,-6329,-8737,40140
8243,-7654,-83,24975
-7434,758,138,-22719
6708,-9323,-7108,41445
9009,9139,5172,11508
-4581,4177,-1789,-8379
8397,-5234,-8323,50157
9755,7544,4777,14931
-1005,-1177,-2868,5586
834,-9346,-3413,12738
1468,7795,4513,-9138
-1064,-5337,-7292,18681
1645,1501,-3209,14559
7175,5799,-3975,33447
-5143,9881,-1375,-11307
2020,2119,4235,-6648
507,706,-1105,4833
6780,7482,2380,13197
-8527,-245,6920,-46344
-8996,495,176,-27519
-8378,1829,1863,-30726
6621,-8267,5153,4401
8538,-4975,-9975,55536
-6695,4933,-541,-18465
-5472,-7849,6688,-36483
4426,-9563,2564,5583
6808,6737,8396,-4767
1587,6790,5397,-11433
-6083,8270,1016,-21300
-9404,1765,9941,-58038
-7135,-6882,-5185,-5853
-9238,3529,9134,-55119
3324,-8790,-2632,17865
9685,-3445,-1108,32376
-2444,-9325,5274,-23157
3663,4735,-8776,37314
9903,-2190,-833,32205
3339,-8995,837,7503
4423,-8872,-7704,36378
-5750,-7439,227,-17934
8487,1846,-5975,43383
5115,6770,5372,-774
110,831,7804,-23085
527,-2802,2943,-7251
-5472,1778,-7251,5334
-8984,-7484,-3477,-16524
-1862,6211,-7135,15816
-4180,6142,3135,-21948
-7905,-5747,9415,-51963
6908,8565,5920,2961
-2475,4265,712,-9564
671,7753,-9695,31095
-5153,-6062,9686,-44520
5115,8289,-4284,28194
2792,5156,-5532,24969
931,-4847,-2968,11694
-6528,4341,-1457,-15216
9263,-4724,4549,14139
1937,-1373,5319,-10149
6598,7555,7514,-2751
2068,-2004,-9733,35400
9487,5406,-6803,48867
-2456,3142,3613,-18210
-4190,9437,-1944,-6741
-3487,-267,6485,-29919
-3282,-3804,-29,-9762
-1857,-3820,1423,-9843
79,-776,2615,-7611
-4230,-1698,-2431,-5400
1490,9608,3523,-6102
8254,958,5963,6870
1948,-7934,-5843,23370
8657,6613,8944,-864
-5637,216,-6490,2556
9585,-2944,6336,9744
-7078,2592,2875,-29862
6498,-9330,-9945,49326
2574,-7072,7948,-16125
4243,-1935,1433,8427
-7529,8954,-5334,-6588
-1514,596,-4435,8760
5386,-3413,7802,-7251
-9544,3826,-8563,-2946
8146,6,3117,15084
-465,-4760,-4820,13062
-2357,547,-1672,-2058
3713,5688,-2210,17766
-2058,6827,-2693,1902
-1569,724,-3312,5226
5843,4026,-2762,25812
-3004,7485,1695,-14100
6298,-7097,1528,14307
-3907,-1228,-5286,4134
-3507,-6090,176,-11052
-488,8496,-8600,24333
-4601,-2736,-3232,-4110
9344,-4183,8774,1707
-6919,9876,-6297,-1869
5504,-5672,-3412,26745
1433,9764,-9572,33012
2094,-2661,-3614,17121
6387,-7254,-8100,43458
4683,11,8765,-12249
2719,-5568,-8062,32340
1804,-1185,-8816,31857
-768,-500,-6298,16587
-6499,6710,3753,-30759
2556,-2229,9922,-22101
7870,5339,788,21243
-9573,5565,-5643,-11793
-9315,1469,854,-30510
9754,7419,8292,4383
-3517,-1142,4045,-22689
3443,2370,1162,6840
4469,-1091,-3685,24459
-6256,-9781,3546,-29409
5865,241,-3635,28497
8058,2456,-2902,32877
7659,6649,2509,15447
7893,-1378,-9497,52167
5770,6203,-435,18612
141,-8785,148,-24
1217,4013,-4413,16887
5762,-4049,2589,9516
-1258,5247,7477,-26208
-3468,-807,-8189,14160
-4296,332,-3600,-2091
6592,-3547,-7471,42186
-2067,-264,8196,-30792
-3035,-5266,-2476,-1680
-5615,1026,3352,-26904
8163,2045,-7303,46395
307,-2385,5943,-16911
-253,1408,2629,-8649
-8045,-3569,-3464,-13746
-7890,-4075,7612,-46509
144,282,2308,-6495
-3556,6323,2731,-18864
-3830,-2854,-4532,2103
-8979,7445,-1932,-21144
-1710,-379,-3923,6636
-6908,1963,1312,-24663
2237,4455,-9921,36471
-483,-2613,8332,-26448
7198,3988,5864,3999
857,3529,-9871,32181
77,-1433,-8009,24255
1175,1007,942,696
4984,-8783,8858,-11625
-9963,-1933,6335,-48897
6376,-9789,-9195,46710
-5746,-2643,6327,-36222
5553,-7457,2760,8376
6975,1557,-7506,43440
-6134,-8765,9710,-47535
-328,-6796,-5868,16617
-1855,7952,5074,-20790
-6739,-560,207,-20841
-8252,-6739,-9567,3942
-9938,2080,8754,-56079
-7470,3177,5480,-38853
-7087,6528,-8019,2793
-2703,7709,-8310,16818
-6549,6860,-8964,7242
6110,-8257,-3451,28680
7520,-7843,8389,-2610
-336,3524,-2995,7974
-9122,-3124,5045,-42504
5164,4277,-1303,19398
1233,-8586,-5723,20865
5859,-2335,-6017,35625
898,748,-5162,18177
-4161,-7647,2088,-18750
-4977,1069,9848,-44478
-9483,-9404,-1681,-23409
-5311,-8127,-2217,-9285
8988,8969,7345,4926
-8436,1768,6870,-45921
-2448,8697,-6720,12813
-927,4946,6312,-21720
